DOB,NO_OF_CHLD,NO_OF_VHCL,GNDR_CD,EDU_DESC,MRRY_DESC,OCPN_DESC,ADDR_PRVC,ADDR_ZIP,SCB_PROD_HLDNG_CNT,SCB_PROD_SUB_GRP_HLDNG_CNT,PROD_GRP_WLTH_HLDNG_CNT,PROD_GRP_LENDING_HLDNG_CNT,PROD_GRP_PYMT_HLDNG_CNT,PROD_GRP_SRVC_HLDNG_CNT,PROD_GRP_BSNS_LENDING_HLDNG_CNT,DPST_ACCT_CNT,DPST_END_BAL,DPST_TXN_CNT,DPST_TXN_CNT_AVG,DPST_TXN_CNT_MIN,DPST_TXN_CNT_MAX,DPST_INFLW_CNT,DPST_INFLW_CNT_MIN,DPST_INFLW_CNT_MAX,DPST_OTFLW_CNT,DPST_OTFLW_CNT_MIN,DPST_OTFLW_CNT_MAX,DPST_INFLW_AMT_TOT,DPST_OTFLW_AMT_TOT,DOB_prev,NO_OF_CHLD_prev,NO_OF_VHCL_prev,GNDR_CD_prev,EDU_DESC_prev,MRRY_DESC_prev,OCPN_DESC_prev,ADDR_PRVC_prev,ADDR_ZIP_prev,SCB_PROD_HLDNG_CNT,SCB_PROD_SUB_GRP_HLDNG_CNT,PROD_GRP_WLTH_HLDNG_CNT,PROD_GRP_LENDING_HLDNG_CNT,PROD_GRP_PYMT_HLDNG_CNT,PROD_GRP_SRVC_HLDNG_CNT,PROD_GRP_BSNS_LENDING_HLDNG_CNT,DPST_ACCT_CNT_prev,DPST_END_BAL_prev,DPST_TXN_CNT_prev,DPST_TXN_CNT_AVG_prev,DPST_TXN_CNT_MIN_prev,DPST_TXN_CNT_MAX_prev,DPST_INFLW_CNT_prev,DPST_INFLW_CNT_MIN_prev,DPST_INFLW_CNT_MAX_prev,DPST_OTFLW_CNT_prev,DPST_OTFLW_CNT_MIN_prev,DPST_OTFLW_CNT_MAX_prev,DPST_INFLW_AMT_TOT_prev,DPST_OTFLW_AMT_TOT_prev,DOB_match,NO_OF_CHLD_match,NO_OF_VHCL_match,GNDR_CD_match,EDU_DESC_match,MRRY_DESC_match,OCPN_DESC_match,ADDR_PRVC_match,ADDR_ZIP_match,cust_id
1/3/1988,0,null,F,bachelor's degree,married,government employee,สุรินทร์,32000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1/3/1988,0,null,F,bachelor's degree,married - non registered,government employee,สุรินทร์,32000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,11
1/4/1983,0,0,M,others,single,service business employee,กรุงเทพมหานคร,10230,4,4,2,1,1,null,null,1,2000.19,17,1.31,1,4,8,1,2,9,1,2,163686,184686,1/4/1983,0,0,M,others,single,service business employee,กรุงเทพมหานคร,10220,5,4,4,1,1,null,null,1,0.69,5,5,5,5,1,1,1,4,4,4,50000,50002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,12
1/2/1999,0,null,M,bachelor's degree,single,service business employee,กรุงเทพมหานคร,10700,5,5,4,1,3,null,null,1,11.58,71,3.55,1,10,28,1,4,43,1,8,35719,35724.68,1/2/1999,0,null,M,bachelor's degree,single,service business employee,กรุงเทพมหานคร,10300,6,6,4,null,3,null,null,1,8238.98,52,2.17,1,6,20,1,2,32,1,5,38714,30491.05,TRUE,TRUE,null,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,13
1/5/1959,1,0,M,high school,married,unemployed,อุบลราชธานี,34150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1/5/1959,1,0,M,high school,married,freelance,อุบลราชธานี,34150,3,3,1,null,2,null,null,1,80.08,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,14
1/4/1970,0,null,M,others,married,service business entrepreneur,นครปฐม,73130,4,4,1,null,4,1,null,1,14607.39,73,2.81,1,9,8,1,2,65,1,7,195515,188658.33,1/4/1970,3,null,M,others,married,service business entrepreneur,นครปฐม,73130,4,4,1,null,4,null,null,1,5283.2,45,1.96,1,6,4,1,2,41,1,5,134770,172729.93,TRUE,FALSE,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15
1/2/1978,0,0,M,bachelor's degree,married,service business entrepreneur,นครปฐม,73140,3,3,2,null,3,1,null,1,0,200,8.33,2,22,39,1,4,161,2,18,15374,15374,1/2/1978,0,0,M,bachelor's degree,married,industrial business employee,นครปฐม,73140,4,4,2,null,5,1,null,1,843.53,88,3.03,1,7,36,1,3,52,1,5,24350,23899.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,16
1/6/1980,0,0,M,high school,married,industrial business employee,สงขลา,90110,2,2,1,null,1,null,null,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1/6/1980,0,0,M,high school,single,service business employee,สงขลา,90110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,17
1/3/1984,0,0,F,bachelor's degree,single,service business entrepreneur,ลพบุรี,15160,3,3,1,1,1,null,null,1,0.31,0,0,0,0,0,0,0,0,0,0,0,0,1/3/1984,0,0,F,bachelor's degree,single,commerce employee,นนทบุรี,11000,2,2,null,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,18
1/10/1971,0,0,F,high school,single,unemployed,กรุงเทพมหานคร,10210,4,4,1,null,3,1,null,1,1004.88,0,0,0,0,0,0,0,0,0,0,0,0,1/10/1971,0,0,F,high school,single,unemployed,ชัยภูมิ,36110,4,4,1,null,4,null,null,1,14667,1,1,1,1,1,1,1,0,0,0,2000,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,19
1/2/1968,2,1,F,bachelor's degree,divorce,service business employee,กรุงเทพมหานคร,10120,6,6,2,2,3,1,null,1,7779.54,2,1,1,1,1,1,1,1,1,1,2000,1896,1/2/1968,0,1,F,bachelor's degree,divorce,service business employee,กรุงเทพมหานคร,10120,7,7,2,2,4,1,null,1,6905.8,5,1.67,1,3,1,1,1,4,1,2,20000,186777,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20
1/3/1993,0,0,F,vocational certificate/ diploma,single,unemployed,ชลบุรี,20250,3,2,3,null,1,null,null,3,1041879.9,28,1.65,1,3,7,1,2,21,1,3,53668.74,53195,1/3/1993,0,0,F,vocational certificate/ diploma,single,service business employee,ชลบุรี,20150,2,2,2,null,1,null,null,2,128670.48,36,2.12,1,6,10,1,3,26,1,3,66693,67934.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,21
1/9/1982,0,1,F,high school,married,commerce employee,กรุงเทพมหานคร,10520,3,3,2,null,2,1,null,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1/9/1982,0,1,F,high school,married,commerce entrepreneur,กรุงเทพมหานคร,10520,2,2,1,null,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,22
1/6/1999,0,0,F,bachelor's degree,single,financial institution employee,กรุงเทพมหานคร,10250,6,5,8,null,3,2,null,3,75064.06,45,2.65,1,7,14,1,2,31,1,6,221722.97,148549.86,1/6/1999,0,0,F,bachelor's degree,single,unemployed,กรุงเทพมหานคร,10250,5,4,7,null,2,2,null,3,301457.44,38,2.38,1,6,8,1,1,30,1,6,30403,30036.19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,23
1/1/1991,0,null,M,null,single,commerce employee,นครศรีธรรมราช,80160,1,1,2,null,null,1,null,2,1.25,5,2.5,2,3,2,1,1,3,1,2,9000,9010,1/1/1991,0,null,M,null,single,freelance,นครศรีธรรมราช,80160,2,2,1,null,1,null,null,1,0,13,2.6,1,4,4,1,1,9,1,3,1760,1760.21,TRUE,TRUE,null,TRUE,null,TRUE,FALSE,TRUE,TRUE,24
1/9/1971,0,null,M,high school,married,commerce entrepreneur,สมุทรปราการ,10570,3,3,2,null,2,null,null,2,1448.38,46,3.29,1,10,38,1,7,8,1,3,3456,4795,1/9/1971,0,null,M,high school,married,commerce entrepreneur,พระนครศรีอยุธยา,13000,2,2,1,null,1,null,null,1,9468.52,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,null,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,25
1/10/1971,0,1,F,bachelor's degree,married,industrial business employee,พระนครศรีอยุธยา,13170,4,4,1,null,4,1,1,1,24341.71,73,3.17,1,9,20,1,2,53,1,7,123356,101297,1/10/1971,0,1,F,bachelor's degree,married - registered,industrial business employee,พระนครศรีอยุธยา,13170,6,6,1,1,4,1,2,1,77566.91,168,5.6,1,35,110,1,32,58,1,11,337418,282419,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,26
1/3/1965,0,0,F,high school,married,unemployed,ชลบุรี,20150,4,4,3,1,1,null,null,2,7044.53,0,0,0,0,0,0,0,0,0,0,0,0,1/3/1965,0,0,F,high school,married,service business entrepreneur,ชลบุรี,20150,5,5,2,1,2,null,null,1,922.6,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,27
1/5/2000,0,null,M,others,single,service business employee,สมุทรสงคราม,75110,2,2,1,null,1,1,null,1,0,2,2,2,2,1,1,1,1,1,1,500,500,1/5/2000,0,null,M,others,single,"student, university student",สมุทรสงคราม,75110,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,28
1/3/1976,0,1,M,bachelor's degree,married,service business entrepreneur,กาญจนบุรี,71000,6,6,2,null,5,1,null,1,0.33,92,8.36,2,30,36,1,9,56,1,21,23353,23353,1/3/1976,0,1,M,bachelor's degree,married,state enterprise employee,กาญจนบุรี,71000,6,6,3,null,5,1,null,1,300.13,363,14.52,1,36,136,1,13,227,1,23,127334,127034,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,29
1/4/1983,0,1,F,less than high school,married,housewife/househusband,กาญจนบุรี,71190,2,2,1,null,1,null,null,1,7208.19,63,2.63,1,8,10,1,1,53,1,7,61200,58933.33,1/4/1983,0,1,F,less than high school,married,"employee of company, store, office",สุพรรณบุรี,72180,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30
1/7/1985,0,0,M,high school,married,industrial business employee,สงขลา,90130,2,2,1,null,1,null,null,1,67.14,4,1.33,1,2,1,1,1,3,1,2,13767.14,13755.57,1/7/1985,0,0,M,high school,married,freelance,สงขลา,90130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,31
1/3/1974,0,null,M,others,married - registered,commerce employee,สุพรรณบุรี,72160,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1/3/1974,0,null,M,others,married - registered,service business employee,สุพรรณบุรี,72160,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,32
1/8/1995,0,0,F,bachelor's degree,single,freelance,เชียงใหม่,50200,3,3,1,null,2,1,null,1,20,21,3.5,1,8,5,1,2,16,1,6,6864.5,7994.5,1/8/1995,0,0,F,bachelor's degree,single,freelance,เชียงใหม่,50160,4,4,2,null,5,1,null,2,6090.7,80,2.96,1,7,15,1,4,65,1,5,36837.28,35105.09,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,33
1/10/1987,0,0,F,high school,single,industrial business employee,ชลบุรี,20160,3,3,1,null,2,null,null,1,1495,34,2.43,1,6,11,1,2,23,1,4,38870,37385,1/10/1987,0,0,F,high school,married,industrial business employee,ปทุมธานี,12000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,34
1/2/1999,0,0,F,bachelor's degree,single,service business employee,สมุทรปราการ,10540,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1/2/1999,0,0,F,null,null,"student, university student",สมุทรปราการ,10540,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,null,null,FALSE,TRUE,TRUE,35
1/2/1955,1,1,M,master's degree,married,unemployed,กรุงเทพมหานคร,10300,2,2,1,1,1,1,null,1,5.06,0,0,0,0,0,0,0,0,0,0,0,0,1/2/1955,0,1,M,master's degree,married,unemployed,กรุงเทพมหานคร,10300,3,3,1,null,2,1,null,1,30007.98,1,1,1,1,1,1,1,0,0,0,30000,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,36
1/5/1980,0,0,F,vocational certificate/ diploma,single,service business employee,นครราชสีมา,36220,3,3,1,null,3,1,null,1,1.64,92,4.6,1,11,18,1,3,74,1,8,20645,20664.16,1/5/1980,0,0,F,vocational certificate/ diploma,single,service business employee,นครราชสีมา,30210,5,5,1,1,5,1,null,1,2043.25,114,4.07,1,16,43,1,8,71,1,8,58971,56930.62,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,37
1/1/1982,0,0,F,high school,single,housewife/househusband,ชลบุรี,20150,7,6,4,1,4,null,null,1,25502.98,27,1.8,1,5,3,1,1,24,1,5,9000,33270,1/1/1982,0,0,F,less than high school,single,housewife/househusband,ชลบุรี,20150,5,5,3,null,5,1,null,1,60290.09,12,1.09,1,2,2,1,1,10,1,1,26500,30498,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,38
1/9/1974,0,0,F,less than high school,single,service business employee,นครปฐม,73130,3,3,1,null,2,1,null,1,0,11,1.83,1,4,7,1,3,4,1,1,5300,5300,1/9/1974,0,0,F,less than high school,single,service business employee,พระนครศรีอยุธยา,13290,3,3,1,null,2,1,null,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,39
1/1/1935,0,2,M,less than high school,married,unemployed,ระยอง,21110,2,2,1,null,1,null,null,1,11212.06,4,1,1,1,1,1,1,3,1,1,11000,18000,1/1/1935,0,2,M,less than high school,single,freelance,กรุงเทพมหานคร,10200,1,1,1,null,null,null,null,1,842393.63,1,1,1,1,1,1,1,0,0,0,10000,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,40
1/11/1999,0,null,M,null,single,industrial business employee,ปทุมธานี,12120,3,3,1,null,2,2,null,1,9,35,3.89,2,9,9,1,2,26,1,8,48030.87,48051,1/11/1999,0,null,M,null,single,commerce employee,นครราชสีมา,30000,3,3,2,null,3,1,null,2,0.47,292,10.81,2,33,105,1,11,187,1,22,88052,87956,TRUE,TRUE,null,TRUE,null,TRUE,FALSE,FALSE,FALSE,41
1/4/1961,0,null,M,bachelor's degree,others,financial institution employee,น่าน,55000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1/4/1961,0,null,M,bachelor's degree,others,financial institution employee,กรุงเทพมหานคร,10200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,42
1/6/1963,0,0,M,bachelor's degree,single,commerce entrepreneur,ชุมพร,86110,5,4,4,1,1,1,null,2,8252.2,0,0,0,0,0,0,0,0,0,0,0,0,1/6/1963,0,0,M,bachelor's degree,married - registered,commerce entrepreneur,ชุมพร,86110,5,4,4,1,1,null,null,2,8505.11,3,1.5,1,2,2,2,2,1,1,1,110000,105730,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,43
1/6/1972,0,0,F,less than high school,married,industrial business employee,ฉะเชิงเทรา,24000,2,2,4,null,1,1,null,4,505892.8,10,2.5,1,5,5,1,2,5,2,3,1554288,1150050,1/6/1972,0,0,F,less than high school,married,service business entrepreneur,ฉะเชิงเทรา,24000,2,2,4,null,1,2,null,4,603601.47,9,1.29,1,2,4,1,1,5,1,1,524765.75,700000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,44
1/9/1989,0,1,M,bachelor's degree,married,commerce entrepreneur,มหาสารคาม,44000,3,3,7,null,1,3,null,4,2065350.4,12,1.71,1,4,2,1,1,10,1,4,4000000,2003351.11,1/9/1989,0,1,M,bachelor's degree,married - registered,commerce entrepreneur,มหาสารคาม,44000,5,5,6,1,2,1,null,4,565496.9,69,2.46,1,6,5,1,1,64,1,6,645127,282984.63,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,45
1/4/1995,0,1,F,bachelor's degree,married,government employee,พะเยา,56150,2,2,2,null,1,1,null,2,400.29,96,5.05,1,16,21,1,4,75,1,12,17623.5,20664.2,1/4/1995,0,null,F,bachelor's degree,single,government employee,พะเยา,56150,2,2,1,null,1,1,null,1,660,156,6,2,13,33,1,3,123,1,12,34526.7,33807.7,TRUE,TRUE,null,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,46
1/9/1990,0,0,F,high school,single,agricultural/ agro industry entrepreneur,กระบี่,81170,2,2,1,null,1,1,null,1,1150.5,17,2.43,1,6,5,1,2,12,1,5,8876,14685,1/9/1990,0,0,F,high school,married,agricultural/ agro industry entrepreneur,กระบี่,81000,3,3,2,null,2,2,null,2,20.11,1,1,1,1,0,0,0,1,1,1,0,3.22,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,47
1/6/1978,0,0,M,high school,single,service business employee,พระนครศรีอยุธยา,13280,3,3,1,null,2,1,null,1,6.64,21,3,2,4,8,1,2,13,1,3,5674,5670,1/6/1978,0,0,M,high school,single,industrial business employee,สมุทรปราการ,10540,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,48
1/4/1975,1,0,M,bachelor's degree,married,soldier,นนทบุรี,11120,4,4,2,1,1,null,null,1,58229.48,6,1.5,1,3,3,1,2,3,1,1,6716.25,8765,1/4/1975,0,0,M,bachelor's degree,married,soldier,นนทบุรี,11120,5,5,2,1,1,null,null,1,22953.02,4,1,1,1,0,0,0,4,1,1,0,17185,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,49
1/3/1964,0,0,F,less than high school,married,housewife/househusband,ระยอง,21000,4,4,3,null,3,1,null,1,66785.65,16,1.6,1,3,12,1,2,4,1,2,7120.45,36300,1/3/1964,0,0,F,less than high school,separate,housewife/househusband,ระยอง,21000,5,5,3,null,4,1,null,1,114407.33,9,1.29,1,2,4,1,2,5,1,1,26156.73,22533.93,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,50
1/11/1991,0,0,F,high school,single,commerce entrepreneur,ปทุมธานี,12000,4,4,4,null,2,1,null,1,14627.09,11,1.22,1,2,3,1,2,8,1,1,11528.27,17663,1/11/1991,0,0,F,high school,single,"student, university student",กรุงเทพมหานคร,10510,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,51
1/9/1995,0,null,M,bachelor's degree,single,service business employee,กรุงเทพมหานคร,10400,4,4,4,1,1,1,null,1,25405.26,5,2.5,1,4,2,1,1,3,3,3,23117.4,17960,1/9/1995,0,null,M,null,single,commerce employee,กรุงเทพมหานคร,10400,2,2,1,null,1,null,null,1,22708.46,43,1.95,1,6,4,2,2,39,1,4,19364.5,21009.71,TRUE,TRUE,null,TRUE,null,TRUE,FALSE,TRUE,TRUE,52
1/11/1971,0,1,F,others,married,industrial business employee,กรุงเทพมหานคร,10160,5,5,4,1,3,1,null,2,228148.76,68,2.62,1,8,38,1,8,30,1,5,366763,276310,1/11/1971,0,1,F,others,married - registered,industrial business employee,กรุงเทพมหานคร,10160,5,5,4,1,4,1,null,2,12000.67,43,2.05,1,6,20,1,4,23,1,3,139156,183913.93,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,53
